	premise	hypothesis	type-of-inference	metadata	label
1660	My favorite thing ever is seeing the petrol light come on! #goesnowhere ?	My least favorite thing is seeing the petrol light come on.	sarcasm	{'snum': '403185353810771968-4', 'incongruency': 'explicit'}	?
1661	My favorite thing ever is seeing the petrol light come on! #goesnowhere ?	I like seeing the petrol light come on.	sarcasm	{'snum': '403185353810771968-5', 'incongruency': 'explicit'}	?
1662	Before the weekend gets started im gonna get started in this homework ?	I am unlikely to get started on this homework before the weekend gets started.	sarcasm	{'snum': '380819044779053056-1', 'incongruency': 'implicit'}	?
1663	Before the weekend gets started im gonna get started in this homework ?	he isn't doing homework before the weekend	sarcasm	{'snum': '380819044779053056-2', 'incongruency': 'implicit'}	?
1664	Before the weekend gets started im gonna get started in this homework ?	I'm not sure I'll get started on this homework before the weekend gets started.	sarcasm	{'snum': '380819044779053056-3', 'incongruency': 'implicit'}	?
1665	Before the weekend gets started im gonna get started in this homework ?	The last thing I want to do this weekend is get started on this homework	sarcasm	{'snum': '380819044779053056-4', 'incongruency': 'implicit'}	?
1666	Working a double tomorrow. Woo hoo! #Work #MyJob #ThinkAboutTheMoney	Working a double tomorrow. I am not excited.	sarcasm	{'snum': '379055403390476288-1', 'incongruency': 'explicit'}	?
1667	Working a double tomorrow. Woo hoo! #Work #MyJob #ThinkAboutTheMoney	I'm working double tomorrow, I hate it.	sarcasm	{'snum': '379055403390476288-2', 'incongruency': 'explicit'}	?
1668	Working a double tomorrow. Woo hoo! #Work #MyJob #ThinkAboutTheMoney	I am not looking forward to working so many hours tomorrow.	sarcasm	{'snum': '379055403390476288-3', 'incongruency': 'explicit'}	?
1669	Working a double tomorrow. Woo hoo! #Work #MyJob #ThinkAboutTheMoney	Tomorrow will be a long day at work but the money will be worth it.	sarcasm	{'snum': '379055403390476288-4', 'incongruency': 'explicit'}	?
1670	Working a double tomorrow. Woo hoo! #Work #MyJob #ThinkAboutTheMoney	Working a double tomorrow. Boo! #Work #MyJob #ThinkAboutTheMoney	sarcasm	{'snum': '379055403390476288-5', 'incongruency': 'explicit'}	?
1671	ToUser ToUser wow what a great come back you definitely won this argument #lol	That is a terrible comeback, you definitely lost this argument.	sarcasm	{'snum': '379076733313777664-1', 'incongruency': 'explicit'}	?
1672	ToUser ToUser wow what a great come back you definitely won this argument #lol	That's a terrible comeback. You lose this argument.	sarcasm	{'snum': '379076733313777664-2', 'incongruency': 'explicit'}	?
1673	ToUser ToUser wow what a great come back you definitely won this argument #lol	Your response was not effective.	sarcasm	{'snum': '379076733313777664-3', 'incongruency': 'explicit'}	?
1674	ToUser ToUser wow what a great come back you definitely won this argument #lol	@User @User wow what a bad come back you definitely lost this argument #lol	sarcasm	{'snum': '379076733313777664-4', 'incongruency': 'explicit'}	?
1675	ToUser ToUser wow what a great come back you definitely won this argument #lol	That was not a good come back and you definitely lost this argument	sarcasm	{'snum': '379076733313777664-5', 'incongruency': 'explicit'}	?
1676	your dedication is overwhelming	Your dedication is underwhelming.	sarcasm	{'snum': '378971265937072128-1', 'incongruency': 'implicit'}	?
1677	your dedication is overwhelming	Your dedication is underwhelming.	sarcasm	{'snum': '378971265937072128-2', 'incongruency': 'implicit'}	?
1678	your dedication is overwhelming	You are not dedicated.	sarcasm	{'snum': '378971265937072128-3', 'incongruency': 'implicit'}	?
1679	your dedication is overwhelming	You are not very dedicated.	sarcasm	{'snum': '378971265937072128-4', 'incongruency': 'implicit'}	?
1680	your dedication is overwhelming	you lack dedication	sarcasm	{'snum': '378971265937072128-5', 'incongruency': 'implicit'}	?
1681	I feel like if we went to the same school we could be best friends! ??	I feel like if we went to the same school we would not be friends at all.	sarcasm	{'snum': '418923026537660416-1', 'incongruency': 'implicit'}	?
1682	I feel like if we went to the same school we could be best friends! ??	If we went to the same school we wouldn't be friends.	sarcasm	{'snum': '418923026537660416-2', 'incongruency': 'implicit'}	?
1683	I feel like if we went to the same school we could be best friends! ??	I don't think that even if we went to the same school we could be best friends.	sarcasm	{'snum': '418923026537660416-3', 'incongruency': 'implicit'}	?
1684	I feel like if we went to the same school we could be best friends! ??	If we went to the same school, we wouldn't be best friends.	sarcasm	{'snum': '418923026537660416-4', 'incongruency': 'implicit'}	?
1685	I feel like if we went to the same school we could be best friends! ??	We can never be best friends.	sarcasm	{'snum': '418923026537660416-5', 'incongruency': 'implicit'}	?
1686	i forgot how much i love writing labs	i forgot how much i hate writing labs.	sarcasm	{'snum': '379058589442129920-1', 'incongruency': 'explicit'}	?
1687	i forgot how much i love writing labs	i forgot how much I hate writing labs	sarcasm	{'snum': '379058589442129920-2', 'incongruency': 'explicit'}	?
1688	i forgot how much i love writing labs	I hate writing labs.	sarcasm	{'snum': '379058589442129920-3', 'incongruency': 'explicit'}	?
1689	i forgot how much i love writing labs	i forgot how much i hate writing labs	sarcasm	{'snum': '379058589442129920-4', 'incongruency': 'explicit'}	?
1690	i forgot how much i love writing labs	I forgot how much I hate writing labs	sarcasm	{'snum': '379058589442129920-5', 'incongruency': 'explicit'}	?
1691	That's not weird at all.	That's weird.	sarcasm	{'snum': '379030146885238784-1', 'incongruency': 'implicit'}	?
1692	That's not weird at all.	That's very weird.	sarcasm	{'snum': '379030146885238784-2', 'incongruency': 'implicit'}	?
1693	That's not weird at all.	That is very weird.	sarcasm	{'snum': '379030146885238784-3', 'incongruency': 'implicit'}	?
1694	That's not weird at all.	That's really weird.	sarcasm	{'snum': '379030146885238784-4', 'incongruency': 'implicit'}	?
1695	That's not weird at all.	That is weird.	sarcasm	{'snum': '379030146885238784-5', 'incongruency': 'implicit'}	?
1696	"I love people who when you like one, stupid artsy instagram picture of theirs message you and are all ""let's hang out!"""	"I hate people who when you like one, stupid artsy instagram picture of theirs message you and are all ""let's hang out!"""	sarcasm	{'snum': '379014450243579904-1', 'incongruency': 'implicit'}	?
1697	"I love people who when you like one, stupid artsy instagram picture of theirs message you and are all ""let's hang out!"""	"I dislike people who when you like one, stupid artsy instagram picture of theirs message you and are all ""let's hang out!"""	sarcasm	{'snum': '379014450243579904-2', 'incongruency': 'implicit'}	?
1698	"I love people who when you like one, stupid artsy instagram picture of theirs message you and are all ""let's hang out!"""	I hate when you like one of someone's Instagram photos and they think you should hang out.	sarcasm	{'snum': '379014450243579904-3', 'incongruency': 'implicit'}	?
1699	"I love people who when you like one, stupid artsy instagram picture of theirs message you and are all ""let's hang out!"""	I hate it when people want to be best friends after you like one instagram picture in their message and you barely know them.	sarcasm	{'snum': '379014450243579904-4', 'incongruency': 'implicit'}	?
1700	"I love people who when you like one, stupid artsy instagram picture of theirs message you and are all ""let's hang out!"""	"I hate people who when you like one, stupid artsy instagram picture of theirs message you and are all ""let's hang out!"""	sarcasm	{'snum': '379014450243579904-5', 'incongruency': 'implicit'}	?
1701	Norfolk is so much fun!!! There's just so much to do!!!!	Norfolk isn't much fun. There is not much to do.	sarcasm	{'snum': '378983203559596032-1', 'incongruency': 'implicit'}	?
1702	Norfolk is so much fun!!! There's just so much to do!!!!	Norfolk is not very fun. There's not much to do.	sarcasm	{'snum': '378983203559596032-2', 'incongruency': 'implicit'}	?
1703	Norfolk is so much fun!!! There's just so much to do!!!!	Norfolk is so boring! There's nothing to do!	sarcasm	{'snum': '378983203559596032-3', 'incongruency': 'implicit'}	?
1704	Norfolk is so much fun!!! There's just so much to do!!!!	Norfolk is so boring!  There's nothing to do!	sarcasm	{'snum': '378983203559596032-4', 'incongruency': 'implicit'}	?
1705	Norfolk is so much fun!!! There's just so much to do!!!!	Norfolk is no fun!!! There's nothing to do!!!	sarcasm	{'snum': '378983203559596032-5', 'incongruency': 'implicit'}	?
1706	I feel like an absolute gem today	I feel absolutely horrible today.	sarcasm	{'snum': '378992768431185920-1', 'incongruency': 'implicit'}	?
1707	I feel like an absolute gem today	I feel like an absolute pig today	sarcasm	{'snum': '378992768431185920-2', 'incongruency': 'implicit'}	?
1708	I feel like an absolute gem today	I feel horrible today.	sarcasm	{'snum': '378992768431185920-3', 'incongruency': 'implicit'}	?
1709	I feel like an absolute gem today	I feel like garbage today	sarcasm	{'snum': '378992768431185920-4', 'incongruency': 'implicit'}	?
1710	I feel like an absolute gem today	I don't feel well today.	sarcasm	{'snum': '378992768431185920-5', 'incongruency': 'implicit'}	?
1711	Can't wait to argue with people tomorrow on why they can't purchase alcohol before 8 am...	I wish I didn't have to argue with people tomorrow on why they can't purchase alcohol before 8 am.	sarcasm	{'snum': '379078303803785216-1', 'incongruency': 'implicit'}	?
1712	Can't wait to argue with people tomorrow on why they can't purchase alcohol before 8 am...	I'm dreading arguing with people tomorrow on why they can't purchase alcohol before 8 am.	sarcasm	{'snum': '379078303803785216-2', 'incongruency': 'implicit'}	?
1713	Can't wait to argue with people tomorrow on why they can't purchase alcohol before 8 am...	I don't want to argue with people tomorrow on why they can't purchase alcohol before 8 am...	sarcasm	{'snum': '379078303803785216-3', 'incongruency': 'implicit'}	?
1714	Can't wait to argue with people tomorrow on why they can't purchase alcohol before 8 am...	I don't want to argue with people tomorrow on why they can't purchase alcohol before 8 am.	sarcasm	{'snum': '379078303803785216-4', 'incongruency': 'implicit'}	?
1715	Can't wait to argue with people tomorrow on why they can't purchase alcohol before 8 am...	It is going to be a difficult day tomorrow having to explain to people that they can't purchase alcohol before 8 am.	sarcasm	{'snum': '379078303803785216-5', 'incongruency': 'implicit'}	?
1716	I can't wait for the basic white girls to quote wrecking ball in there selfies	I dread seeing the basic white girls quoting wrecking ball in there selfies.	sarcasm	{'snum': '378975852471812096-1', 'incongruency': 'implicit'}	?
1717	I can't wait for the basic white girls to quote wrecking ball in there selfies	I hope the basic white girls don't quote wrecking ball in their selfies.	sarcasm	{'snum': '378975852471812096-2', 'incongruency': 'implicit'}	?
1718	I can't wait for the basic white girls to quote wrecking ball in there selfies	I can't stand the basic white girls to quote wrecking ball in there selfies	sarcasm	{'snum': '378975852471812096-3', 'incongruency': 'implicit'}	?
1719	I'd like to thank the most recent Windows update for deleting all my icons, my wallpaper, and Google Chrome. Great job Windows.	I blame the most recent Windows update for deleting all my icons, my wallpaper, and Google Chrome. Horrible job Windows.	sarcasm	{'snum': '379073621181730816-1', 'incongruency': 'explicit'}	?
1720	I'd like to thank the most recent Windows update for deleting all my icons, my wallpaper, and Google Chrome. Great job Windows.	I'd like to complain that the most recent Windows update for deleting all my icons, my wallpaper, and Google Chrome. Bad job Windows.	sarcasm	{'snum': '379073621181730816-2', 'incongruency': 'explicit'}	?
1721	I'd like to thank the most recent Windows update for deleting all my icons, my wallpaper, and Google Chrome. Great job Windows.	I hate the most recent Windows update for deleting my icons, my wallpaper, and Google Chrome. You're terrible, Windows.	sarcasm	{'snum': '379073621181730816-3', 'incongruency': 'explicit'}	?
1722	I'd like to thank the most recent Windows update for deleting all my icons, my wallpaper, and Google Chrome. Great job Windows.	I would like to say that the most recent Windows update just deleted all my icons, my wallpaper, and my Goggle Chrome. Poor job Windows.	sarcasm	{'snum': '379073621181730816-4', 'incongruency': 'explicit'}	?
1723	Just took dads golf cart out! Glad someone told me the brakes stopped working	Just took dads golf cart out! I wish someone would have told me the brakes stopped working	sarcasm	{'snum': '379016710612733952-1', 'incongruency': 'explicit'}	?
1724	Just took dads golf cart out! Glad someone told me the brakes stopped working	Just took dads golf cart out! I wish someone told me the brakes stopped working	sarcasm	{'snum': '379016710612733952-2', 'incongruency': 'explicit'}	?
1725	Just took dads golf cart out! Glad someone told me the brakes stopped working	I wish someone would have told me that the brakes in dads golf cart had went out before I took it out.	sarcasm	{'snum': '379016710612733952-3', 'incongruency': 'explicit'}	?
1726	Just took dads golf cart out! Glad someone told me the brakes stopped working	Just took dads golf cart out! Not glad nobody told me the brakes stopped working.	sarcasm	{'snum': '379016710612733952-4', 'incongruency': 'explicit'}	?
1727	Just took dads golf cart out! Glad someone told me the brakes stopped working	I just took dads golf cart out. I wish someone would have told me the brakes stopped working.	sarcasm	{'snum': '379016710612733952-5', 'incongruency': 'explicit'}	?
1728	You know what I love? Knowing I'm going to go home after the gym and have nothing to do.. On a Saturday night.. Awesome.	I hate knowing I'm going to go home after the gym and have nothing to do.. On a Saturday night..	sarcasm	{'snum': '379090972346294273-1', 'incongruency': 'implicit'}	?
1729	You know what I love? Knowing I'm going to go home after the gym and have nothing to do.. On a Saturday night.. Awesome.	I hate knowing i'm going to go home after the gym and have nothing to do on a Saturday night. Not cool.	sarcasm	{'snum': '379090972346294273-2', 'incongruency': 'implicit'}	?
1730	You know what I love? Knowing I'm going to go home after the gym and have nothing to do.. On a Saturday night.. Awesome.	You know what I hate? Know I'm going to go home after the gym and have nothing to do.. On a Saturday night. Just awful.	sarcasm	{'snum': '379090972346294273-3', 'incongruency': 'implicit'}	?
1731	You know what I love? Knowing I'm going to go home after the gym and have nothing to do.. On a Saturday night.. Awesome.	You know what I hate? Knowing after I get home from the gym I don't have anything else to do on a Saturday night.	sarcasm	{'snum': '379090972346294273-4', 'incongruency': 'implicit'}	?
1732	You know what I love? Knowing I'm going to go home after the gym and have nothing to do.. On a Saturday night.. Awesome.	You know what I hate? Knowing I'm going to go home and have nothing to do on a Saturday night.	sarcasm	{'snum': '379090972346294273-5', 'incongruency': 'implicit'}	?
1733	ToUser So glad apple hasn't sent me the update yet!!!	I am unhappy that Apple hasn't sent me the update yet!	sarcasm	{'snum': '380463216263831552-1', 'incongruency': 'implicit'}	?
1734	ToUser So glad apple hasn't sent me the update yet!!!	I want Apple to send me an update!	sarcasm	{'snum': '380463216263831552-2', 'incongruency': 'implicit'}	?
1735	ToUser So glad apple hasn't sent me the update yet!!!	I'm really upset that Apple hasn't sent me the update yet.	sarcasm	{'snum': '380463216263831552-3', 'incongruency': 'implicit'}	?
1736	ToUser So glad apple hasn't sent me the update yet!!!	I wish apple would send me the update already!	sarcasm	{'snum': '380463216263831552-4', 'incongruency': 'implicit'}	?
1737	ToUser So glad apple hasn't sent me the update yet!!!	I have yet to receive the apple update.	sarcasm	{'snum': '380463216263831552-5', 'incongruency': 'implicit'}	?
1738	I love having no time to clean my apartment! ?	I hate having no time to clean my apartment.	sarcasm	{'snum': '380402098753376257-1', 'incongruency': 'explicit'}	?
1739	I love having no time to clean my apartment! ?	I wish I had time to clean my apartment today!	sarcasm	{'snum': '380402098753376257-2', 'incongruency': 'explicit'}	?
1740	I love having no time to clean my apartment! ?	I hate having no time to clean my apartment.	sarcasm	{'snum': '380402098753376257-3', 'incongruency': 'explicit'}	?
1741	I love having no time to clean my apartment! ?	I wish I had more time to clean my apartment!	sarcasm	{'snum': '380402098753376257-4', 'incongruency': 'explicit'}	?
1742	I love having no time to clean my apartment! ?	I hate having no time to clean my apartment!	sarcasm	{'snum': '380402098753376257-5', 'incongruency': 'explicit'}	?
1743	Ed Davey is such a passionate, inspiring speaker. #ldconf	Ed Davey is not a passionate, inspiring speaker.	sarcasm	{'snum': '379207422276947968-1', 'incongruency': 'implicit'}	?
1744	Ed Davey is such a passionate, inspiring speaker. #ldconf	Ed Davey is such a dull, monotonous speaker. #ldconf	sarcasm	{'snum': '379207422276947968-2', 'incongruency': 'implicit'}	?
1745	Ed Davey is such a passionate, inspiring speaker. #ldconf	Ed Davey is a boring, uninspiring speaker.	sarcasm	{'snum': '379207422276947968-3', 'incongruency': 'implicit'}	?
1746	Ed Davey is such a passionate, inspiring speaker. #ldconf	Ed Davey is not a very passionate or inspiring speaker.	sarcasm	{'snum': '379207422276947968-4', 'incongruency': 'implicit'}	?
1747	Glad I Have A Boyfriend That Truly Cares	I don't have a boyfriend that truly cares.	sarcasm	{'snum': '379256218495516672-1', 'incongruency': 'implicit'}	?
1748	Glad I Have A Boyfriend That Truly Cares	I hate that I have a boyfriend that doesn't care.	sarcasm	{'snum': '379256218495516672-2', 'incongruency': 'implicit'}	?
1749	Glad I Have A Boyfriend That Truly Cares	I'm upset that I do not have a boyfriend that truly cares.	sarcasm	{'snum': '379256218495516672-3', 'incongruency': 'implicit'}	?
1750	Glad I Have A Boyfriend That Truly Cares	My boyfriend doesn't really care about me.	sarcasm	{'snum': '379256218495516672-4', 'incongruency': 'implicit'}	?
1751	Glad I Have A Boyfriend That Truly Cares	I am sad I have a boyfriend that doesn't care.	sarcasm	{'snum': '379256218495516672-5', 'incongruency': 'implicit'}	?
1752	I love how my mom gets mad a me for no reason!!	I hate how my mom gets mad a me for no reason!!	sarcasm	{'snum': '379082995623546880-1', 'incongruency': 'explicit'}	?
1753	I love how my mom gets mad a me for no reason!!	I hate how my mom gets mad a me for no reason!!	sarcasm	{'snum': '379082995623546880-2', 'incongruency': 'explicit'}	?
1754	I love how my mom gets mad a me for no reason!!	Its seems as if my mother gets mad at me for no reason.	sarcasm	{'snum': '379082995623546880-3', 'incongruency': 'explicit'}	?
1755	I love how my mom gets mad a me for no reason!!	I hate that my mom gets mad at me for no reason.	sarcasm	{'snum': '379082995623546880-4', 'incongruency': 'explicit'}	?
1756	I love how my mom gets mad a me for no reason!!	I don't like how my mom gets mad at me for no reason!!	sarcasm	{'snum': '379082995623546880-5', 'incongruency': 'explicit'}	?
1757	I appreciate the effort.	I don't appreciate the lack of effort.	sarcasm	{'snum': '379108989692170240-1', 'incongruency': 'implicit'}	?
1758	I appreciate the effort.	I do not appreciate the effort.	sarcasm	{'snum': '379108989692170240-2', 'incongruency': 'implicit'}	?
1759	I appreciate the effort.	I don't appreciate your efforts.	sarcasm	{'snum': '379108989692170240-3', 'incongruency': 'implicit'}	?
1760	I appreciate the effort.	I don't appreciate the effort you made.	sarcasm	{'snum': '379108989692170240-4', 'incongruency': 'implicit'}	?
1761	Got pictures and autographs today along with some awesome prints. And tomorrow is going to be more of the same. Oh darn!	Got pictures and autographs today along with some awesome prints. And tomorrow is going to be more of the same. I am excited.	sarcasm	{'snum': '379078458665484288-1', 'incongruency': 'implicit'}	?
1762	Got pictures and autographs today along with some awesome prints. And tomorrow is going to be more of the same. Oh darn!	Got pictures and autographs today along with some awesome prints. And tomorrow is going to be more of the same. Oh yes!	sarcasm	{'snum': '379078458665484288-2', 'incongruency': 'implicit'}	?
1763	Got pictures and autographs today along with some awesome prints. And tomorrow is going to be more of the same. Oh darn!	Got pictures and autographs today along with some awesome prints. And tomorrow is going to be more of the same. Yay!	sarcasm	{'snum': '379078458665484288-3', 'incongruency': 'implicit'}	?
1764	Got pictures and autographs today along with some awesome prints. And tomorrow is going to be more of the same. Oh darn!	Got pictures and autographs today along with some awesome prints. And tomorrow is going to be more of the same. yay!	sarcasm	{'snum': '379078458665484288-4', 'incongruency': 'implicit'}	?
1765	A mandatory orientation for work next week.....so fun! #ilovemyoldcrew #LMAfambamalways	A mandatory orientation for work next week. It will not be fun.	sarcasm	{'snum': '383294589592801282-1', 'incongruency': 'implicit'}	?
1766	A mandatory orientation for work next week.....so fun! #ilovemyoldcrew #LMAfambamalways	A mandatory orientation for work next week...so not fun!	sarcasm	{'snum': '383294589592801282-2', 'incongruency': 'implicit'}	?
1767	A mandatory orientation for work next week.....so fun! #ilovemyoldcrew #LMAfambamalways	The mandatory orientation for work next week will be so boring.	sarcasm	{'snum': '383294589592801282-3', 'incongruency': 'implicit'}	?
1768	A mandatory orientation for work next week.....so fun! #ilovemyoldcrew #LMAfambamalways	A mandatory orientation for work next week.....not fun!	sarcasm	{'snum': '383294589592801282-4', 'incongruency': 'implicit'}	?
1769	A mandatory orientation for work next week.....so fun! #ilovemyoldcrew #LMAfambamalways	A mandatory orientation for work next week.......so not fun.	sarcasm	{'snum': '383294589592801282-5', 'incongruency': 'implicit'}	?
1770	I love the media guys that only care about ToUser when they struggle or something goes wrong. #Golivesomewhereelse	I hate the media guys that only care about @User when they struggle or something goes wrong.	sarcasm	{'snum': '378959486284623872-1', 'incongruency': 'explicit'}	?
1771	I love the media guys that only care about ToUser when they struggle or something goes wrong. #Golivesomewhereelse	I hate the media guys that only care about @User when they struggle or something goes wrong.	sarcasm	{'snum': '378959486284623872-2', 'incongruency': 'explicit'}	?
1772	I love the media guys that only care about ToUser when they struggle or something goes wrong. #Golivesomewhereelse	I really hate that the media guys only care about @user when they struggle or something goes wrong. #Golivesomewhereelse	sarcasm	{'snum': '378959486284623872-3', 'incongruency': 'explicit'}	?
1773	I love the media guys that only care about ToUser when they struggle or something goes wrong. #Golivesomewhereelse	The media's focus is misdirected.	sarcasm	{'snum': '378959486284623872-4', 'incongruency': 'explicit'}	?
1774	Proved to everyone at my work today that I have no common sense, was so fabulous	Proved to everyone at my work today that I have no common sense, was so horrible.	sarcasm	{'snum': '378981055799525376-1', 'incongruency': 'explicit'}	?
1775	Proved to everyone at my work today that I have no common sense, was so fabulous	Proved to everyone at my work today that I have no common sense. It was awful.	sarcasm	{'snum': '378981055799525376-2', 'incongruency': 'explicit'}	?
1776	Proved to everyone at my work today that I have no common sense, was so fabulous	I'm so embarrassed. I looked like someone who has no common sense at work today.	sarcasm	{'snum': '378981055799525376-3', 'incongruency': 'explicit'}	?
1777	Proved to everyone at my work today that I have no common sense, was so fabulous	Proved to everyone at my work today that I have no common sense, was so horrible	sarcasm	{'snum': '378981055799525376-4', 'incongruency': 'explicit'}	?
1778	Proved to everyone at my work today that I have no common sense, was so fabulous	Proved to everyone at my work today that I have no common sense, was not fabulous	sarcasm	{'snum': '378981055799525376-5', 'incongruency': 'explicit'}	?
1779	I love it when people give up on something they really want #not	I hate it when people give up on something they really want.	sarcasm	{'snum': '379022458818686976-1', 'incongruency': 'explicit'}	?
1780	I love it when people give up on something they really want #not	I hate it when people give up on something they really want	sarcasm	{'snum': '379022458818686976-2', 'incongruency': 'explicit'}	?
1781	I love it when people give up on something they really want #not	I hate it when people give up on something they really want.	sarcasm	{'snum': '379022458818686976-3', 'incongruency': 'explicit'}	?
1782	I love it when people give up on something they really want #not	I hate it when people give up on something they really want #truth	sarcasm	{'snum': '379022458818686976-4', 'incongruency': 'explicit'}	?
1783	I love it when people give up on something they really want #not	I hate it when people give up on something they really want.	sarcasm	{'snum': '379022458818686976-5', 'incongruency': 'explicit'}	?
1784	Already welcomed very nicely to the Purdue campus.... #GoIrish #BeatPurdue ToUser	We were not welcomed very nicely to the Purdue campus.	sarcasm	{'snum': '378994512800280577-1', 'incongruency': 'explicit'}	?
1785	Already welcomed very nicely to the Purdue campus.... #GoIrish #BeatPurdue ToUser	Already given a hostile welcome to the Purdue campus.... #GoIrish #BeatPurdue @User	sarcasm	{'snum': '378994512800280577-2', 'incongruency': 'explicit'}	?
1786	Already welcomed very nicely to the Purdue campus.... #GoIrish #BeatPurdue ToUser	Purdue fans are rude.	sarcasm	{'snum': '378994512800280577-3', 'incongruency': 'explicit'}	?
1787	Already welcomed very nicely to the Purdue campus.... #GoIrish #BeatPurdue ToUser	Already feel unwelcomed on the Purdue campus.  #GoIrish #BeatPurdue	sarcasm	{'snum': '378994512800280577-4', 'incongruency': 'explicit'}	?
1788	Perfect time to get strep throat!!! ???	This is a bad time to get strep throat.	sarcasm	{'snum': '399899303415529472-1', 'incongruency': 'implicit'}	?
1789	Perfect time to get strep throat!!! ???	Terrible time to get strep throat!!!	sarcasm	{'snum': '399899303415529472-2', 'incongruency': 'implicit'}	?
1790	Perfect time to get strep throat!!! ???	My illness is inconvenient.	sarcasm	{'snum': '399899303415529472-3', 'incongruency': 'implicit'}	?
1791	Perfect time to get strep throat!!! ???	Horrible time to get strep throat!!!	sarcasm	{'snum': '399899303415529472-4', 'incongruency': 'implicit'}	?
1792	Perfect time to get strep throat!!! ???	Really bad time to get strep throat!!! ???	sarcasm	{'snum': '399899303415529472-5', 'incongruency': 'implicit'}	?
1793	I can't believe you actually existed!	I believe you actually existed.	sarcasm	{'snum': '415025246060572672-1', 'incongruency': 'implicit'}	?
1794	I can't believe you actually existed!	You are real.	sarcasm	{'snum': '415025246060572672-2', 'incongruency': 'implicit'}	?
1795	I can't believe you actually existed!	I didn't notice you before.	sarcasm	{'snum': '415025246060572672-3', 'incongruency': 'implicit'}	?
1796	I can't believe you actually existed!	I can believe you actually existed!	sarcasm	{'snum': '415025246060572672-4', 'incongruency': 'implicit'}	?
1797	Love how the radio takes me down memory lane!	I dislike how the radio takes me down memory lane.	sarcasm	{'snum': '379045109004001280-1', 'incongruency': 'implicit'}	?
1798	Love how the radio takes me down memory lane!	Either: I hate how the radio makes me recall bad memories! Or: I hate how the radio always plays old songs!	sarcasm	{'snum': '379045109004001280-2', 'incongruency': 'implicit'}	?
1799	Love how the radio takes me down memory lane!	I hate when the radio takes me down memory lane.	sarcasm	{'snum': '379045109004001280-3', 'incongruency': 'implicit'}	?
1800	Love how the radio takes me down memory lane!	I hate how the radio takes me down memory lane	sarcasm	{'snum': '379045109004001280-4', 'incongruency': 'implicit'}	?
1801	I love surprise platinums at 5am....	I hate surprise platinums at 5am.	sarcasm	{'snum': '379213873875660800-1', 'incongruency': 'implicit'}	?
1802	I love surprise platinums at 5am....	I hate surprise platinums at 5am....	sarcasm	{'snum': '379213873875660800-2', 'incongruency': 'implicit'}	?
1803	I love surprise platinums at 5am....	I hate surprise platinums at 5am....	sarcasm	{'snum': '379213873875660800-3', 'incongruency': 'implicit'}	?
1804	I love surprise platinums at 5am....	I do not love surprise platinums at 5am.	sarcasm	{'snum': '379213873875660800-4', 'incongruency': 'implicit'}	?
1805	I love surprise platinums at 5am....	I hate surprise platinums at 5am....	sarcasm	{'snum': '379213873875660800-5', 'incongruency': 'implicit'}	?
1806	I love how I get in trouble if I do say something and if I don't say anything.	I hate how I get in trouble if I do say something and if I don't say anything.	sarcasm	{'snum': '378993918488371200-1', 'incongruency': 'explicit'}	?
1807	I love how I get in trouble if I do say something and if I don't say anything.	I hate how I get in trouble if I do say something and if I don't say anything.	sarcasm	{'snum': '378993918488371200-2', 'incongruency': 'explicit'}	?
1808	I love how I get in trouble if I do say something and if I don't say anything.	I hate that I get in trouble if I either do say something or if I don't say anything.	sarcasm	{'snum': '378993918488371200-3', 'incongruency': 'explicit'}	?
1809	I love how I get in trouble if I do say something and if I don't say anything.	Ihate how I get in trouble if I do say sometlhing and I don't say anything.	sarcasm	{'snum': '378993918488371200-4', 'incongruency': 'explicit'}	?
1810	WOOOOWW! You're all sooo original... #FuckYall	You're all unoriginal.	sarcasm	{'snum': '378954337617076225-1', 'incongruency': 'implicit'}	?
1811	WOOOOWW! You're all sooo original... #FuckYall	WOOOOWW! You're all sooo unoriginal... #FuckYall	sarcasm	{'snum': '378954337617076225-2', 'incongruency': 'implicit'}	?
1812	WOOOOWW! You're all sooo original... #FuckYall	You're all the same.	sarcasm	{'snum': '378954337617076225-3', 'incongruency': 'implicit'}	?
1813	WOOOOWW! You're all sooo original... #FuckYall	WOOOOWW! You're not original... #FuckYall	sarcasm	{'snum': '378954337617076225-4', 'incongruency': 'implicit'}	?
1814	WOOOOWW! You're all sooo original... #FuckYall	Ugh!  You are all very lame and unoriginal... #FuckYall	sarcasm	{'snum': '378954337617076225-5', 'incongruency': 'implicit'}	?
1815	You know what? Josh Freeman looks really good on this drive.	Josh Freeman has not looked good on this drive.	sarcasm	{'snum': '392497665462005760-1', 'incongruency': 'implicit'}	?
1816	You know what? Josh Freeman looks really good on this drive.	josh freeman looks bad like usual	sarcasm	{'snum': '392497665462005760-2', 'incongruency': 'implicit'}	?
1817	You know what? Josh Freeman looks really good on this drive.	Josh Freeman looks terrible on this drive.	sarcasm	{'snum': '392497665462005760-3', 'incongruency': 'implicit'}	?
1818	You know what? Josh Freeman looks really good on this drive.	You know what? Josh Freeman looks really bad on this drive.	sarcasm	{'snum': '392497665462005760-4', 'incongruency': 'implicit'}	?
1819	No texts no calls. Ha just how I like it. :).	No texts no calls. I hate this.	sarcasm	{'snum': '387398360363057152-1', 'incongruency': 'explicit'}	?
